media,spend,roi,contribution
phone_call,84001.84615384616,-0.027802378259234078,-113.39084987143222
phone_call,88346.76923076923,-0.014455891331983727,-62.00729397445726
phone_call,92691.69230769231,-0.003302518275676547,-14.862548083679297
phone_call,97036.61538461539,0.006059443746663899,28.547996167922356
phone_call,101381.53846153847,0.013947158204525615,68.65178540442938
phone_call,105726.46153846155,0.020613391876326864,105.81333163800416
phone_call,110071.38461538462,0.026261318021179432,140.34539924804722
phone_call,114416.3076923077,0.03105553132405701,172.5178846209501
phone_call,118761.23076923078,0.03513033797295944,202.56492586795048
phone_call,123106.15384615384,0.03859606079327104,230.69064142499442
phone_call,127451.07692307692,0.04154388147168272,257.0737967422586
phone_call,131796.0,0.04404959290247719,281.8716258302433
phone_call,136140.92307692306,0.046176531386863624,305.2229811554368
phone_call,140485.84615384616,0.04797788587850601,327.25094581714245
phone_call,144830.76923076925,0.04949852991416322,348.0650122074039
phone_call,149175.6923076923,0.05077648483388878,367.76290890923025
phone_call,153520.6153846154,0.05184409599991985,386.4321404027468
phone_call,157865.53846153847,0.05272898400940857,404.15129094283054
phone_call,162210.46153846153,0.053454818309864795,420.9911337207819
phone_call,166555.38461538462,0.05404194974632067,437.0155784505435
phone_call,170900.3076923077,0.054507930375664655,452.2824841811941
phone_call,175245.23076923078,0.05486794268474915,466.8443592145178
phone_call,179590.15384615384,0.05513515560586286,480.74896600848996
phone_call,183935.07692307694,0.05532102108203143,494.0398457848232
phone_call,188280.0,0.055435522118652,506.7567750261697
webinar,33330.0,-4.3625983964031825,-7059.72494533938
webinar,41021.53846153846,-2.8752881835336184,-5726.648872256098
webinar,48713.07692307692,-1.996105106937254,-4721.023908472744
webinar,56404.61538461539,-1.436790073373786,-3934.7323211470875
webinar,64096.153846153844,-1.0612905604241087,-3302.7332843723902
webinar,71787.69230769231,-0.7986038194776738,-2783.4832190622565
webinar,79479.23076923078,-0.6087712027237961,-2349.1729278358084
webinar,87170.76923076923,-0.46794005462852717,-1980.4702892459648
webinar,94862.30769230769,-0.3611809462462504,-1663.5112743397422
webinar,102553.84615384616,-0.2787779988745107,-1388.0901764969371
webinar,110245.38461538462,-0.21419828310358427,-1146.5252775824836
webinar,117936.92307692308,-0.16292532762114717,-932.922629617364
webinar,125628.46153846155,-0.12176111875499916,-742.6837180271245
webinar,133320.0,-0.0883935743143077,-572.167561523686
webinar,141011.53846153847,-0.061120273828521636,-418.45347028621586
webinar,148703.07692307694,-0.03866724790123456,-279.1710946051023
webinar,156394.61538461538,-0.02006729821524392,-152.37647856593398
webinar,164086.15384615387,-0.0045765679206439544,-36.460202732576526
webinar,171777.6923076923,0.008383741646510269,69.92168449528187
webinar,179469.23076923078,0.01926877937494252,167.90028651829022
webinar,187160.76923076925,0.02843991649220563,258.43442873629044
webinar,194852.3076923077,0.03618659806121016,342.34228251711096
webinar,202543.84615384616,0.042742531836469796,420.3262645569931
webinar,210235.38461538462,0.04829782262526812,492.99282395354004
webinar,217926.9230769231,0.05300816583336739,560.8683018369676
webinar,225618.46153846156,0.057001882397324566,624.4117444611529
webinar,233310.0,0.06038535168426681,684.0253317355811
webinar,241001.53846153847,0.06324724319966085,740.062923639713
webinar,248693.07692307694,0.06566183903435034,792.8371094491182
webinar,256384.6153846154,0.06769166189315862,842.6250572497314
webinar,264076.1538461539,0.06938956835998124,889.6733954807183
webinar,271767.6923076923,0.07080042713320256,934.2023084647675
webinar,279459.23076923075,0.0719624727928322,976.4089897709035
webinar,287150.76923076925,0.0729084041531488,1016.4705679550077
webinar,294842.30769230775,0.07366628024987959,1054.5465964115024
webinar,302533.8461538462,0.07426025501238408,1090.7811813121693
webinar,310225.3846153846,0.07471118259599632,1125.3048075540812
webinar,317916.92307692306,0.07503711844592048,1158.2359116019225
webinar,325608.46153846156,0.07525373586462482,1189.6822412324934
webinar,333300.0,0.07537467376834817,1219.7420351316332
